[02-Jan-2020 12:12:26 UTC] База данных WordPress возвратила ошибку Unknown column 'post_id' in 'field list' в ответ на запрос SELECT post_id FROM tsvt_usermeta WHERE meta_key = '_import_user_ID' AND meta_value = '25', выполненный do_action('toplevel_page_wooaioie-page'), WP_Hook->do_action, WP_Hook->apply_filters, wooaioie_admin_page, include('/plugins/woo-aio-import-export/admin/partials/import_users.php')
[02-Jan-2020 12:12:26 UTC] База данных WordPress возвратила ошибку Unknown column 'post_id' in 'field list' в ответ на запрос SELECT post_id FROM tsvt_usermeta WHERE meta_key = '_import_user_ID' AND meta_value = '26', выполненный do_action('toplevel_page_wooaioie-page'), WP_Hook->do_action, WP_Hook->apply_filters, wooaioie_admin_page, include('/plugins/woo-aio-import-export/admin/partials/import_users.php')
[02-Jan-2020 12:12:26 UTC] База данных WordPress возвратила ошибку Unknown column 'post_id' in 'field list' в ответ на запрос SELECT post_id FROM tsvt_usermeta WHERE meta_key = '_import_user_ID' AND meta_value = '27', выполненный do_action('toplevel_page_wooaioie-page'), WP_Hook->do_action, WP_Hook->apply_filters, wooaioie_admin_page, include('/plugins/woo-aio-import-export/admin/partials/import_users.php')
[02-Jan-2020 12:12:26 UTC] База данных WordPress возвратила ошибку Unknown column 'post_id' in 'field list' в ответ на запрос SELECT post_id FROM tsvt_usermeta WHERE meta_key = '_import_user_ID' AND meta_value = '28', выполненный do_action('toplevel_page_wooaioie-page'), WP_Hook->do_action, WP_Hook->apply_filters, wooaioie_admin_page, include('/plugins/woo-aio-import-export/admin/partials/import_users.php')
[02-Jan-2020 12:12:26 UTC] База данных WordPress возвратила ошибку Unknown column 'post_id' in 'field list' в ответ на запрос SELECT post_id FROM tsvt_usermeta WHERE meta_key = '_import_user_ID' AND meta_value = '29', выполненный do_action('toplevel_page_wooaioie-page'), WP_Hook->do_action, WP_Hook->apply_filters, wooaioie_admin_page, include('/plugins/woo-aio-import-export/admin/partials/import_users.php')
[02-Jan-2020 12:12:26 UTC] База данных WordPress возвратила ошибку Unknown column 'post_id' in 'field list' в ответ на запрос SELECT post_id FROM tsvt_usermeta WHERE meta_key = '_import_user_ID' AND meta_value = '30', выполненный do_action('toplevel_page_wooaioie-page'), WP_Hook->do_action, WP_Hook->apply_filters, wooaioie_admin_page, include('/plugins/woo-aio-import-export/admin/partials/import_users.php')
[02-Jan-2020 12:12:26 UTC] База данных WordPress возвратила ошибку Unknown column 'post_id' in 'field list' в ответ на запрос SELECT post_id FROM tsvt_usermeta WHERE meta_key = '_import_user_ID' AND meta_value = '31', выполненный do_action('toplevel_page_wooaioie-page'), WP_Hook->do_action, WP_Hook->apply_filters, wooaioie_admin_page, include('/plugins/woo-aio-import-export/admin/partials/import_users.php')
[02-Jan-2020 12:12:26 UTC] База данных WordPress возвратила ошибку Unknown column 'post_id' in 'field list' в ответ на запрос SELECT post_id FROM tsvt_usermeta WHERE meta_key = '_import_user_ID' AND meta_value = '32', выполненный do_action('toplevel_page_wooaioie-page'), WP_Hook->do_action, WP_Hook->apply_filters, wooaioie_admin_page, include('/plugins/woo-aio-import-export/admin/partials/import_users.php')
[02-Jan-2020 12:12:26 UTC] База данных WordPress возвратила ошибку Unknown column 'post_id' in 'field list' в ответ на запрос SELECT post_id FROM tsvt_usermeta WHERE meta_key = '_import_user_ID' AND meta_value = '33', выполненный do_action('toplevel_page_wooaioie-page'), WP_Hook->do_action, WP_Hook->apply_filters, wooaioie_admin_page, include('/plugins/woo-aio-import-export/admin/partials/import_users.php')
[02-Jan-2020 12:12:26 UTC] База данных WordPress возвратила ошибку Unknown column 'post_id' in 'field list' в ответ на запрос SELECT post_id FROM tsvt_usermeta WHERE meta_key = '_import_user_ID' AND meta_value = '34', выполненный do_action('toplevel_page_wooaioie-page'), WP_Hook->do_action, WP_Hook->apply_filters, wooaioie_admin_page, include('/plugins/woo-aio-import-export/admin/partials/import_users.php')
